SUBJECT_ID,Unique Patient ID
Med_Potassium Chloride,Potassium Chloride Usage 
Med_Prednisone,Prednisone Usage 
Med_Propofol,Propofol Usage 
Med_Ranitidine,Ranitidine Usage 
Med_Simvastatin,Simvastatin Usage 
Med_Sodium Bicarbonate,Sodium Bicarbonate Usage 
Med_Tacrolimus,Tacrolimus Usage 
Med_Thiamine,Thiamine Usage 
Med_Vancomycin,Vancomycin Usage 
Med_Warfarin,Warfarin Usage 
Diag_10_A419,"Sepsis, unspecified organism"
Diag_10_R6521,Severe sepsis with septic shock
Diag_10_Z794,Long term (current) use of insulin
Diag_10_D62,Acute posthemorrhagic anemia
TS_Heart Rate,Heart Rate
TS_NSBP,Systolic Blood Pressure
TS_NDBP,Diastolic Blood Pressure
TS_NMBP,Mean Blood Pressure
TS_Respiratory_Rate,Respiratory Rate
TS_GCS_EyeOpening,GCS Eye Opening Response
TS_Temperature_C,Temperature (Celsius)
TS_O2 Flow,Oxygen Flow Rate
TS_GCS_VerbalResponse,GCS Verbal Response
TS_GCS_MotorResponse,GCS Motor Response
TS_SpO2 Desat Limit,SpO2 Desaturation Limit
TS_Admission_Weight,Admission Weight
TS_SpO2,Blood Oxygen Saturation
TS_Pain Level Response,Pain Level
TS_Pain,Pain
TS_Respiratory_Rate_Total,Respiratory Rate
TS_Total_PEEP,Total PEEP
TS_History of falling (within 3 mnths),History of Falling (within 3 months)
TS_Calculated Total CO2,Calculated Total CO2
TS_Base Excess,Base Excess
TS_pCO2,CO2 Partial Pressure
TS_pH,pH
TS_Lactate,Lactate
TS_PaO2,Arterial Oxygen Partial Pressure
TS_Lactic Acid,Lactate
TS_Self ADL,Self Activities of Daily Living
TS_ETOH,Alcohol
TS_ASBP,Systolic Blood Pressure
TS_ADBP,Diastolic Blood Pressure
TS_MAP,Mean Arterial Pressure
TS_Arterial_PaCO2,Arterial CO2 Partial Pressure
TS_PH (Arterial),Arterial pH
TS_Arterial Base Excess,Arterial Base Excess
TS_Ionized_Calcium,Ionized Calcium
TS_Arterial_TCO2,Arterial Total CO2
TS_Potassium (whole blood),Blood Potassium
TS_Glucose_WholeBlood,Whole Blood Glucose
TS_PEEP_Set,PEEP Set
TS_Daily Weight,Daily Weight
TS_Resp_Spontaneous,Spontaneous Respiration
TS_Peak Insp. Pressure,Peak Inspiratory Pressure
TS_Mean Airway Pressure,Mean Airway Pressure
TS_Visual / hearing deficit,Visual/Hearing Deficit
TS_Mental status,Mental Status
TS_CAM-ICU MS Change,CAM-ICU Mental Status Change
TS_Skin Care,Skin Care
TS_Back Care,Back Care
TS_Plateau Pressure,Plateau Pressure
TS_SaO2,Blood Oxygen Saturation
TS_FiO2,Fraction of Inspired Oxygen
TS_Hemoglobin,Hemoglobin
TS_Hematocrit (serum),Hematocrit
TS_WBC,White Blood Cell Count
TS_Chloride (serum),Chloride
TS_Creatinine,Creatinine
TS_Glucose (serum),Glucose
TS_Magnesium,Magnesium
TS_Sodium (serum),Sodium
TS_BUN,Blood Urea Nitrogen
TS_Calcium non-ionized,Non-ionized Calcium
TS_Phosphorous,Phosphorus
TS_Anion_Gap,Anion Gap
TS_Potassium (serum),Blood Potassium
TS_HCO3 (serum),Bicarbonate
TS_PLT,Platelet Count
TS_PT,Prothrombin Time
TS_PTT,Partial Thromboplastin Time
TS_INR,International Normalized Ratio
"TS_Hematocrit, Calculated",Calculated Hematocrit
TS_Hematocrit,Hematocrit
TS_HCO3,Bicarbonate
"TS_Creatine Kinase, MB Isoenzyme",Creatine Kinase-MB
TS_Phosphate,Phosphorus
TS_Calcium,Calcium
TS_Chloride,Chloride
TS_Glucose,Glucose
TS_Potassium,Potassium
TS_Sodium,Sodium
TS_Alkaline Phosphatase,Alkaline Phosphatase
TS_AST,Aspartate Aminotransferase
TS_LDH,Lactate Dehydrogenase
TS_ALT,Alanine Aminotransferase
TS_Alkaline Phosphate,Alkaline Phosphatase
TS_Creatine_Kinase,Creatine Kinase
TS_Bilirubin_total,Total Bilirubin
TS_Troponin-T,Troponin-T
TS_Albumin,Albumin
TS_RDW,Red Cell Distribution Width
TS_RBC,Red Blood Cell Count
TS_INR(PT),International Normalized Ratio
TS_MCV,Mean Corpuscular Volume
TS_Basophils,Basophils
TS_Eosinophils,Eosinophils
TS_Monocytes,Monocytes
TS_Neutrophils,Neutrophils
TS_MCHC,Mean Corpuscular Hemoglobin Concentration
TS_MCH,Mean Corpuscular Hemoglobin
TS_Lymphocytes,Lymphocytes
TS_Strength L Arm,Left Arm Strength
TS_Strength L Leg,Left Leg Strength
TS_Strength R Leg,Right Leg Strength
TS_Strength R Arm,Right Arm Strength
TS_Differential-Lymphs,Lymphocyte Differential
TS_Potassium_WholeBlood,Whole Blood Potassium
TS_Sodium_WholeBlood,Whole Blood Sodium
TS_Pain_Presence,Pain Presence
TS_Dialysis patient,Dialysis Patient
TS_Tidal Volume (observed),Tidal Volume (Observed)
TS_Inspiratory Time,Inspiratory Time
TS_Specific Gravity,Specific Gravity
TS_Difficulty swallowing,Difficulty Swallowing
TS_Differential-Neuts,Neutrophil Differential
TS_Fingerstick_Glucose,Fingerstick Glucose
TS_Unintentional weight loss >10 lbs.,Unintentional Weight Loss >10 lbs
TS_Oxygen,Oxygen
TS_Bed Bath,Bed Bath
TS_CAM-ICU Inattention,CAM-ICU Inattention
TS_PH (Venous),Venous pH
TS_GCS_Total,Glasgow Coma Scale Total
MIMIC,Data Source
Diag_MYOCARDIAL INFARCT,Myocardial Infarction Diagnosis
Diag_CONGESTIVE HEART FAILURE,Congestive Heart Failure Diagnosis
Diag_PERIPHERAL VASCULAR DISEASE,Peripheral Vascular Disease Diagnosis
Diag_CEREBROVASCULAR DISEASE,Cerebrovascular Disease Diagnosis
Diag_DEMENTIA,Dementia Diagnosis
Diag_CHRONIC PULMONARY DISEASE,Chronic Pulmonary Disease Diagnosis
Diag_RHEUMATIC DISEASE,Rheumatic Disease Diagnosis
Diag_PEPTIC ULCER DISEASE,Peptic Ulcer Disease Diagnosis
Diag_MILD LIVER DISEASE,Mild Liver Disease Diagnosis
Diag_DIABETES WITHOUT CC,Diabetes without Complications
Diag_DIABETES WITH CC,Diabetes with Complications
Diag_PARAPLEGIA,Paraplegia Diagnosis
Diag_RENAL DISEASE,Renal Disease Diagnosis
Diag_MALIGNANT CANCER,Malignant Cancer Diagnosis
Diag_SEVERE LIVER DISEASE,Severe Liver Disease Diagnosis
Diag_METASTATIC SOLID TUMOR,Metastatic Solid Tumor Diagnosis
Diag_AIDS,AIDS Diagnosis
Diag_CHARLSON COMORBIDITY INDEX,Charlson Comorbidity Index
First_AKI_stage_ICU24,First AKI in ICU
sepsis_all,Sepsis
sepsis_after24,Sepsis in ICU
sepsis_before24,Sepsis before ICU
FirstICU24_AKI_1,First AKI in ICU
FirstICU24_AKI_2,First AKI in ICU
FirstICU24_AKI_3,First AKI in ICU
FirstICU24_AKI_ALL,First AKI in ICU
FirstICU24_AKI_2_3,First AKI in ICU
Diag_Acute respiratory failure,Acute Respiratory Failure Diagnosis
Diag_Do not resuscitate status,Do Not Resuscitate Status
Diag_Encounter for palliative care,Palliative Care Encounter
Diag_Hyperosmolality and|or hypernatremia,Hyperosmolality and/or Hypernatremia
Pro_0BH17EZ,"Insertion of Endotracheal Airway into Trachea, Via Natural or Artificial Opening"
Pro_02H633Z,"Insertion of Infusion Device into Right Atrium, Percutaneous Approach"
Pro_0DJ08ZZ,"Inspection of Upper Intestinal Tract, Via Natural or Artificial Opening Endoscopic"
Pro_3E0G76Z,"Introduction of Nutritional Substance into Upper GI, Via Natural or Artificial Opening"
Pro_5A1955Z,"Respiratory Ventilation, Greater than 96 Consecutive Hours"
Pro_0W9G3ZX,"Drainage of Peritoneal Cavity, Percutaneous Approach, Diagnostic"
Pro_B211YZZ,Fluoroscopy of Multiple Coronary Arteries using Other Contrast
Diag_Acinetobacter spp.,Acinetobacter spp. Infection
Diag_Enterobacteriaceae,Enterobacteriaceae Infection
Diag_Enterococcus spp.,Enterococcus spp. Infection
Diag_Pseudomonas aeruginosa,Pseudomonas Aeruginosa Infection
Diag_Staphylococcus aureus,Staphylococcus Aureus Infection
Diag_MDRObeforeICU,Multi-Drug Resistant Organisms before ICU
Diag_ATE_filtered,Arterial Thrombotic Events
